id,full_sq,railroad_station_walk_km,public_transport_station_km,price_doc
1,43,5.419893032,0.274985143,5850000
2,34,3.4119930839999997,0.065263344,6000000
3,43,1.277658039,0.32875604399999997,5700000
4,89,4.2914325,0.131596959,13100000
5,77,0.853960072,0.071480323,16331452
6,67,0.375311695,0.189227153,9100000
7,25,2.6036705319999998,0.050211053,5500000
8,44,4.309574655,0.25481389,2000000
9,42,1.540958494,0.21977584100000003,5300000
10,36,2.5224216409999998,0.218409543,2000000
11,36,3.4321201969999997,0.048622705,4650000
12,38,4.978185601,0.076349353,4800000
13,43,0.635649365,0.10748256699999999,5100000
14,31,1.2542063970000001,0.121959,5200000
15,31,0.9045286790000001,0.17523703,5000000
16,51,3.681022942,0.08976094,1850000
17,47,2.393325354,0.122196241,6300000
18,42,2.400834592,0.10044442699999999,5900000
19,59,3.7881981689999997,0.10546523599999999,7900000
20,44,3.7748451989999996,0.103280151,5200000
21,74,3.9287278760000004,0.210132651,8200000
22,39,3.9708892660000004,0.19402163100000003,5200000
23,48,3.6117565560000005,0.275050647,6250000
24,32,2.324751919,0.054605888,5750000
25,34,1.6877850369999998,0.135368064,6000000
26,45,0.9420718509999999,0.285404524,1050000
27,35,3.046223907,0.12130238199999999,5000000
28,38,1.073577852,0.067036246,4700000
29,73,2.928790822,0.22676524899999997,8254400
30,42,2.274821805,0.082561775,5900000
31,40,5.884257116000001,0.199656676,6200000
32,81,2.1107882780000002,0.064749768,18300000
33,38,5.8089334489999995,0.05488293599999999,4900000
34,31,3.6735446830000003,0.22755573199999998,4400000
35,39,2.4159355590000002,0.317656644,3900000
36,39,3.614076351,0.10960696199999999,4850000
37,37,1.180346114,0.090569684,5700000
38,27,0.253484262,0.117470061,4300000
39,33,1.19660387,0.008908311,4500000
40,33,1.5547667969999999,0.18952261899999998,2000000
41,45,2.977539315,0.259670707,6200000
42,54,2.831598413,0.07010330599999999,7500000
43,40,0.8825493109999999,0.21138400300000001,5900000
44,59,8.397591789,0.202845812,9550000
45,77,5.6956554520000005,0.13999619,8600000
46,42,2.76854025,0.251964923,2312800
47,38,6.797692819,0.522412491,6200000
48,36,1.993982289,0.05421893,4833000
49,44,2.603599331,0.14549842300000002,5300000
50,37,0.16179443400000001,0.099338165,5150000
51,51,0.253484262,0.117470061,1000000
52,37,2.23536277,0.075167651,5098000
53,46,2.1315225819999997,0.102799535,5500000
54,38,0.235717852,0.10525109699999999,6000000
55,34,2.3922838680000003,0.208064088,4800000
56,43,1.69959785,0.074300971,5500000
57,56,3.175257911,0.195171118,2000000
58,35,4.6579526069999995,0.141027921,5000000
59,75,0.274752094,0.24456044,9950000
60,64,3.4622211469999997,0.064609237,990000
61,96,3.354193537,0.13953895300000002,14000000
62,52,4.310512477,0.181794354,7200000
63,44,2.4684485119999997,0.229592734,8400000
64,39,0.937061192,0.26079716199999997,2080000
65,35,2.089131546,0.09631293199999999,5750000
66,63,3.72547989,0.100069981,10011000
67,50,6.012194299,0.07837202,1000000
68,51,0.235717852,0.10525109699999999,7100000
69,76,1.458358779,0.034930647999999995,2000000
70,45,4.887519155,0.107071753,6600000
71,32,6.224906881,0.167543312,5300000
72,64,0.623275913,0.274226672,2630000
73,66,0.8648068309999999,0.205452776,2600000
74,38,2.326988106,0.24793653699999998,4550000
75,37,1.415990726,0.194072784,7400000
76,46,0.786683115,0.18838946399999998,5300000
77,74,7.010628919,0.14094422199999998,8900000
78,30,2.142329344,0.135823303,4950000
79,53,9.748701961,0.258351662,7800000
80,133,5.787330982,0.184610025,17600000
81,47,5.066545796000001,0.078705833,1000000
82,50,2.425714627,0.242318299,990000
83,34,1.322893112,0.245574154,1000000
84,66,2.097287377,0.33647726,990000
85,63,1.468777553,0.15022302199999998,9000000
86,43,2.53551308,0.336399328,6700000
87,45,2.360552408,0.258622089,990000
88,34,2.003057944,0.24626871399999997,4000000
89,43,2.000613618,0.24067507800000001,4450000
90,76,8.342309637,0.43810881799999996,12500000
91,32,5.752190552,0.09586829,3775000
92,50,3.4044446760000002,0.198638802,9500000
93,32,5.271732342,0.43555219799999995,990000
94,72,4.345769592,0.281620582,7000000
95,45,1.632321935,0.19339060100000002,6504000
96,54,1.735905206,0.036290129,12900000
97,30,2.543145535,0.031504626,500000
98,39,0.6877813979999999,0.174835813,9500000
99,51,2.306750028,0.067408097,7100000
100,74,3.2346441560000003,0.046419088,990000
101,41,0.9064298670000001,0.23668507800000002,5350000
102,37,0.883078013,0.112389835,8600000
103,44,4.551565153,0.22748316100000002,5950000
104,38,3.693116098,0.06316183,2900000
105,26,0.382300314,0.153729698,4146000
106,34,3.185230684,0.105243652,5200000
107,52,3.2286411669999997,0.109767144,6300000
108,74,1.061195069,0.322965499,1000000
109,46,2.534001899,0.07167596700000001,7200000
110,77,1.589715904,0.029567674,13800000
111,44,1.9005602019999999,0.042388492,6200000
112,54,3.7609848510000004,0.130595835,6800000
113,74,1.8416661559999998,0.082983715,7200000
114,46,1.0247566590000001,0.21002201199999998,6350000
